postgres-1  | 2025-10-20 22:50:27.038 UTC [49104] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:27.038 UTC [49104] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:27.675 UTC [49105] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:27.675 UTC [49105] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:28.310 UTC [49106] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:28.310 UTC [49106] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:28.943 UTC [49107] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:28.943 UTC [49107] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:29.592 UTC [49108] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:29.592 UTC [49108] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:30.244 UTC [49116] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:30.244 UTC [49116] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:30.892 UTC [49117] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:30.892 UTC [49117] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:31.525 UTC [49118] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:31.525 UTC [49118] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:32.159 UTC [49119] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:32.159 UTC [49119] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:32.792 UTC [49120] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:32.792 UTC [49120] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:33.423 UTC [49121] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:33.423 UTC [49121] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:34.061 UTC [49122] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:34.061 UTC [49122] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:34.695 UTC [49123] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:34.695 UTC [49123] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:35.320 UTC [49131] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:35.320 UTC [49131] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:35.944 UTC [49132] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:35.944 UTC [49132] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:36.556 UTC [49133] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:36.556 UTC [49133] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:37.172 UTC [49134] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:37.172 UTC [49134] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:37.803 UTC [49135] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:37.803 UTC [49135] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:38.445 UTC [49136] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:38.445 UTC [49136] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:39.082 UTC [49137] FATAL:  password authentication failed for user "postgres"
